BuildingID,addr_full,lng,lat
"121844","444 WEST 259 STREET BRONX NY 10471","-73.9034","40.9065"
"123613","4740 WHITE PLAINS ROAD BRONX NY 10470","-73.8494","40.9044"
"55384","4635 CARPENTER AVENUE BRONX NY 10470","-73.8535","40.9043"
"123608","4727 WHITE PLAINS ROAD BRONX NY 10470","-73.8502","40.9043"
"73345","988 EAST 241 STREET BRONX NY 10466","-73.8432","40.9021"
"106713","4566 RICHARDSON AVENUE BRONX NY 10470","-73.8525","40.902"
"98406","4429 MUNDY LANE BRONX NY 10466","-73.8409","40.9014"
"123558","4509 WHITE PLAINS ROAD BRONX NY 10470","-73.853","40.9003"
"806651","609 EAST 238 STREET BRONX NY 10470","-73.8632","40.9001"
"55289","4409 CARPENTER AVENUE BRONX NY 10470","-73.857","40.9"
"99366","2055 NEREID AVENUE BRONX NY 10466","-73.8442","40.8999"
"99354","2033 NEREID AVENUE BRONX NY 10466","-73.845","40.8997"
"94636","4375 MATILDA AVENUE BRONX NY 10466","-73.8569","40.8986"
"61553","4235 DE REIMER AVENUE BRONX NY 10466","-73.8444","40.8967"
"55224","4272 CARPENTER AVENUE BRONX NY 10466","-73.8588","40.8963"
"72647","693 EAST 236 STREET BRONX NY 10466","-73.8566","40.8959"
"72226","683 EAST 234 STREET BRONX NY 10466","-73.8576","40.8946"
"96984","4110 MONTICELLO AVENUE BRONX NY 10466","-73.8392","40.8944"
"72228","686 EAST 234 STREET BRONX NY 10466","-73.8576","40.8941"
"897871","678 EAST 233 STREET BRONX NY 10466","-73.8582","40.8937"
"96978","4092 MONTICELLO AVENUE BRONX NY 10466","-73.839","40.8936"
"75001","2033 EDENWALD AVENUE BRONX NY 10466","-73.8425","40.8934"
"71553","646 EAST 231 STREET BRONX NY 10466","-73.8601","40.8924"
"74933","1800 EDENWALD AVENUE BRONX NY 10466","-73.8478","40.8917"
"104195","4018 PRATT AVENUE BRONX NY 10466","-73.8337","40.8913"
"49368","3963 BELL AVENUE BRONX NY 10466","-73.8347","40.8912"
"71641","869 EAST 231 STREET BRONX NY 10466","-73.8527","40.8905"
"55173","4033 CARPENTER AVENUE BRONX NY 10466","-73.8627","40.8904"
"123445","4059 WHITE PLAINS ROAD BRONX NY 10466","-73.8595","40.8903"
"70998","681 EAST 228 STREET BRONX NY 10466","-73.8602","40.8902"
"71203","728 EAST 229 STREET BRONX NY 10466","-73.858","40.8901"
"85008","3944 HILL AVENUE BRONX NY 10466","-73.8385","40.89"
"92812","4036 LOWERRE PLACE BRONX NY 10466","-73.8603","40.8898"
"70795","634 EAST 227 STREET BRONX NY 10466","-73.8621","40.8897"
"71438","842 EAST 230 STREET BRONX NY 10466","-73.8542","40.8897"
"71008","722 EAST 228 STREET BRONX NY 10466","-73.8586","40.8894"
"51799","3990 BRONX BOULEVARD BRONX NY 10466","-73.8638","40.8892"
"70646","687 EAST 226 STREET BRONX NY 10466","-73.8605","40.8889"
"123433","4016 WHITE PLAINS ROAD BRONX NY 10466","-73.8595","40.8888"
"55144","3975 CARPENTER AVENUE BRONX NY 10466","-73.8636","40.8888"
"70816","716 EAST 227 STREET BRONX NY 10466","-73.8591","40.8888"
"70824","730 EAST 227 STREET BRONX NY 10466","-73.8587","40.8886"
"70836","750 EAST 227 STREET BRONX NY 10466","-73.858","40.8884"
"70860","817 EAST 227 STREET BRONX NY 10466","-73.856","40.8883"
"71060","846 EAST 228 STREET BRONX NY 10466","-73.8549","40.8883"
"45303","3849 AMUNDSON AVENUE BRONX NY 10466","-73.8355","40.8882"
"47783","4007 BARNES AVENUE BRONX NY 10466","-73.8573","40.8879"
"47782","4005 BARNES AVENUE BRONX NY 10466","-73.8574","40.8879"
"70670","811 EAST 226 STREET BRONX NY 10466","-73.8566","40.8876"
"91994","2230 LIGHT STREET BRONX NY 10466","-73.8307","40.8876"
"70234","654 EAST 224 STREET BRONX NY 10466","-73.8626","40.8874"
"70688","840 EAST 226 STREET BRONX NY 10466","-73.8558","40.8869"
"69530","627 EAST 222 STREET BRONX NY 10467","-73.8641","40.8867"
"70295","769 EAST 224 STREET BRONX NY 10466","-73.8583","40.8865"
"69918","725 EAST 223 STREET BRONX NY 10466","-73.8601","40.8863"
"68985","631 EAST 220 STREET BRONX NY 10467","-73.8649","40.8853"
"89044","3594 JEROME AVENUE BRONX NY 10467","-73.8791","40.8852"
"106302","3805 REVIEW PLACE BRONX NY 10463","-73.8998","40.8852"
"70004","901 EAST 223 STREET BRONX NY 10466","-73.8552","40.8847"
"70351","924 EAST 224 STREET BRONX NY 10466","-73.8541","40.8847"
"70386","967 EAST 224 STREET BRONX NY 10466","-73.8525","40.8846"
"70409","1030 EAST 225 STREET BRONX NY 10466","-73.8509","40.8845"
"69278","759 EAST 221 STREET BRONX NY 10467","-73.8598","40.8844"
"100799","3873 ORLOFF AVENUE BRONX NY 10463","-73.8962","40.8844"
"61064","3569 DEKALB AVENUE BRONX NY 10467","-73.8792","40.8843"
"100943","3207 OXFORD AVENUE BRONX NY 10463","-73.9098","40.8843"
"70048","957 EAST 223 STREET BRONX NY 10466","-73.8533","40.8841"
"70050","959 EAST 223 STREET BRONX NY 10466","-73.8533","40.8841"
"69281","766 EAST 221 STREET BRONX NY 10467","-73.8598","40.884"
"838846","1010 EAST 224 STREET BRONX NY 10466","-73.852","40.884"
"68842","644 EAST 219 STREET BRONX NY 10467","-73.865","40.884"
"69662","913 EAST 222 STREET BRONX NY 10469","-73.8552","40.8839"
"69282","770 EAST 221 STREET BRONX NY 10467","-73.8595","40.8839"
"70428","1112 EAST 225 STREET BRONX NY 10466","-73.8488","40.8838"
"121522","135 WEST 238 STREET BRONX NY 10463","-73.8973","40.8837"
"80987","3971 GOUVERNEUR AVENUE BRONX NY 10463","-73.8922","40.8834"
"807099","535 WEST 232 STREET BRONX NY 10463","-73.9092","40.8833"
"69063","829 EAST 220 STREET BRONX NY 10467","-73.8584","40.8832"
"121427","533 WEST 232 STREET BRONX NY 10463","-73.9091","40.8831"
"69315","864 EAST 221 STREET BRONX NY 10467","-73.8569","40.8831"
"68870","730 EAST 219 STREET BRONX NY 10467","-73.8618","40.883"
"69053","810 EAST 220 STREET BRONX NY 10467","-73.8592","40.883"
"68662","711 EAST 218 STREET BRONX NY 10467","-73.8625","40.8829"
"61053","3520 DEKALB AVENUE BRONX NY 10467","-73.8796","40.8829"
"69095","871 EAST 220 STREET BRONX NY 10467","-73.857","40.8827"
"107125","3535 ROCHAMBEAU AVENUE BRONX NY 10467","-73.8792","40.8827"
"61050","3511 DEKALB AVENUE BRONX NY 10467","-73.8803","40.8826"
"80045","3418 GATES PLACE BRONX NY 10467","-73.884","40.8823"
"46557","3460 BAILEY AVENUE BRONX NY 10463","-73.8993","40.882"
"46556","3458 BAILEY AVENUE BRONX NY 10463","-73.8994","40.8819"
"68709","827 EAST 218 STREET BRONX NY 10467","-73.8592","40.8818"
"889477","821 EAST 218 STREET BRONX NY 10467","-73.8596","40.8817"
"61042","3433 DEKALB AVENUE BRONX NY 10467","-73.882","40.8812"
"120347","3514 WAYNE AVENUE BRONX NY 10467","-73.8774","40.8811"
"100464","3643 OLINVILLE AVENUE BRONX NY 10467","-73.867","40.881"
"68564","901 EAST 217 STREET BRONX NY 10469","-73.8575","40.8805"
"68758","930 EAST 218 STREET BRONX NY 10469","-73.8563","40.8805"
"68792","1026 EAST 219 STREET BRONX NY 10469","-73.8535","40.8803"
"67495","16 EAST 208 STREET BRONX NY 10467","-73.883","40.8802"
"68170","708 EAST 215 STREET BRONX NY 10467","-73.8641","40.8802"
"124680","3619 WILLETT AVENUE BRONX NY 10467","-73.8664","40.8802"
"100443","3609 OLINVILLE AVENUE BRONX NY 10467","-73.8674","40.8802"
"100009","1457 OAKLEY STREET BRONX NY 10469","-73.8501","40.8801"
"61034","3540 DECATUR AVENUE BRONX NY 10467","-73.8717","40.88"
"124676","3615 WILLETT AVENUE BRONX NY 10467","-73.8665","40.88"
"124675","3611 WILLETT AVENUE BRONX NY 10467","-73.8665","40.88"
"85997","3644 HOLLAND AVENUE BRONX NY 10467","-73.8632","40.8798"
